번호,지역,기관명,지구
298,대덕,(주)카이아이컴퍼니,1지구
299,대덕,(주)카프마이크로,1지구
300,대덕,(주)커넥트브릭,1지구
301,대덕,(주)컨텍,1지구
302,대덕,(주)케이더블유뉴클리어콤포넌트,1지구
303,대덕,(주)케이시크,1지구
304,대덕,(주)케이쓰리아이,1지구
305,대덕,(주)케이아이,1지구
306,대덕,(주)케이알에너지솔루션,1지구
307,대덕,(주)케이에이치전자,1지구
308,대덕,(주)케이엠넷,1지구
309,대덕,(주)케이티지,1지구
310,대덕,(주)켐트리,1지구
311,대덕,(주)코스모넷,1지구
312,대덕,(주)코아시스,1지구
313,대덕,(주)코어밸런스,1지구
314,대덕,(주)코어스톤,1지구
315,대덕,(주)쿨리오,1지구
316,대덕,(주)큐니온,1지구
317,대덕,(주)클랩엠씨,1지구
318,대덕,(주)클레버로직,1지구
319,대덕,(주)킨웨어,1지구
320,대덕,(주)태산에너지기술,1지구
321,대덕,(주)태울코리아,1지구
322,대덕,(주)테그웨이,1지구
323,대덕,(주)테스트마이다스 ,1지구
324,대덕,(주)테슬라스,1지구
325,대덕,(주)테크체인랩스,1지구
326,대덕,(주)텔레옵틱스,1지구
327,대덕,(주)텔트론,1지구
328,대덕,(주)트리앤링크,1지구
329,대덕,(주)티디지,1지구
330,대덕,(주)티맥,1지구
331,대덕,(주)티보그,1지구
332,대덕,(주)티앤이코리아,1지구
333,대덕,(주)티엔에프에이아이,1지구
334,대덕,(주)티움솔루션즈,1지구
335,대덕,(주)파멥신,1지구
336,대덕,(주)파미,1지구
337,대덕,(주)파블로항공,1지구
338,대덕,(주)파워엔텍,1지구
339,대덕,(주)파이버프로,1지구
340,대덕,(주)파인에스엔에스,1지구
341,대덕,(주)파츠너,1지구
342,대덕,(주)파킹고,1지구
343,대덕,(주)페라메드,1지구
344,대덕,(주)펩트론,1지구
345,대덕,(주)펫박스,1지구
346,대덕,(주)포세듀,1지구
347,대덕,(주)포엠솔루션 대전지사,1지구
348,대덕,(주)폴리체인,1지구
349,대덕,(주)퓨어스피어,1지구
350,대덕,(주)퓨엔텍,1지구
351,대덕,(주)퓨쳐디자인시스템,1지구
352,대덕,(주)프로바이오닉,1지구
353,대덕,(주)프로테인웍스,1지구
354,대덕,(주)플라즈맵,1지구
355,대덕,(주)플랜파트너스,1지구
356,대덕,(주)플레토로보틱스,1지구
357,대덕,(주)피드바이오,1지구
358,대덕,(주)피디케이,1지구
359,대덕,(주)피즐리소프트,1지구
360,대덕,(주)필텍코리아,1지구
361,대덕,(주)하우리,1지구
362,대덕,(주)하이드로비티,1지구
363,대덕,(주)하이로보텍,1지구
364,대덕,(주)하이블루텍,1지구
365,대덕,(주)한국디지털트윈연구소,1지구
366,대덕,(주)한국미디어정보기술,1지구
367,대덕,(주)한국방사선기술연구소,1지구
368,대덕,(주)한국의과학연구원,1지구
369,대덕,(주)한국인삼공사 중앙연구원,1지구
370,대덕,(주)한국프리시전웍스,1지구
371,대덕,(주)한비젼,1지구
372,대덕,(주)한빛레이저,1지구
373,대덕,(주)한수나텍,1지구
374,대덕,(주)한수도로산업,1지구
375,대덕,(주)한컴인스페이스,1지구
376,대덕,(주)항신바이탈,1지구
377,대덕,(주)호영테크,1지구
378,대덕,(주)화성건축사사무소,1지구
379,대덕,(주)후니즈아이테크,1지구
380,대덕,(주)휴마스,1지구
381,대덕,(주)휴빛,1지구
382,대덕,(주)휴턴,1지구
383,대덕,(주)힐리노엘에스,1지구
384,대덕,L&D Inc.,1지구
385,대덕,LG생명과학기술연구원,1지구
386,대덕,SK(주),1지구
387,대덕,SK루브리컨츠(주) Technolog,1지구
388,대덕,SK바이오텍(주),1지구
389,대덕,SK바이오팜(주),1지구
390,대덕,SK배터리시스템즈(주),1지구
391,대덕,SK아이이테크놀로지 주식회사,1지구
392,대덕,SK에너지(주),1지구
393,대덕,SK에너지(주)기술원,1지구
394,대덕,SY태양광발전소1호,1지구
395,대덕,Spacesoft,1지구
396,대덕,VIV International,1지구
397,대덕,lg생명과학기술연구원,1지구
398,대덕,㈜마이크로글로브,1지구
399,대덕,㈜베넷정보기술,1지구
400,대덕,㈜시온텍,1지구
401,대덕,㈜애경소재중앙연구소,1지구
402,대덕,과학기술연합대학원대학교,1지구
403,대덕,광전자(주),1지구
404,대덕,국가기록원,1지구
405,대덕,국립과학수사연구원중부분원,1지구
406,대덕,국립문화유산연구원,1지구
407,대덕,국립중앙과학관,1지구
408,대덕,그린플러스,1지구
409,대덕,글로벌혁신산업연구소,1지구
410,대덕,금강유역환경청,1지구
411,대덕,금양통신,1지구
412,대덕,금호폴리켐,1지구
413,대덕,금호폴리켐(주) 여수공장,1지구
414,대덕,길재소프트 주식회사,1지구
415,대덕,나노메디슨리서치(주),1지구
416,대덕,나노융합산업연구조합,1지구
417,대덕,나리넷(주),1지구
418,대덕,내일테크놀로지,1지구
419,대덕,넷코덱,1지구
420,대덕,넷타겟,1지구
421,대덕,노슨(NOHSN) ,1지구
422,대덕,농업회사법인 보광리소스 주식회사,1지구
423,대덕,다이이치코리아(주),1지구
424,대덕,다임리서치,1지구
425,대덕,닥터하스킨(주),1지구
426,대덕,대덕광학기기,1지구
427,대덕,대덕대학,1지구
428,대덕,대덕전자기계고등학교,1지구
429,대덕,대림산업(주)대덕연구소,1지구
430,대덕,대전과학고등학교,1지구
431,대덕,대전광역시교육청,1지구
432,대덕,대전광역시소방본부,1지구
433,대덕,대전교육과학연구원,1지구
434,대덕,대전신용보증재단,1지구
435,대덕,대전지방기상청,1지구
436,대덕,대전충남kotra지원단,1지구
437,대덕,대케미칼주식회사,1지구
438,대덕,대한무역투자진흥공사대전충남무역관,1지구
439,대덕,더줌,1지구
440,대덕,동부팜한농(주),1지구
441,대덕,동아퓨얼셀주식회사,1지구
442,대덕,두산중공업(주),1지구
443,대덕,드리블 주식회사,1지구
444,대덕,디엘이앤씨 주식회사,1지구
445,대덕,디엘케미칼(주) 대덕연구소,1지구
446,대덕,디자인벨럽,1지구
447,대덕,디케이바이오(주),1지구
448,대덕,라도포스,1지구
449,대덕,라미랩(주),1지구
450,대덕,라보텍(주),1지구
451,대덕,라스텔라,1지구
452,대덕,라치텍,1지구
453,대덕,럼버원랩스(주),1지구
454,대덕,레이저닉스(주),1지구
455,대덕,레이트론(주),1지구
456,대덕,로빈ICT,1지구
457,대덕,롯데이노베이트 주식회사,1지구
458,대덕,롯데케미칼주식회사,1지구
459,대덕,루센트블록,1지구
460,대덕,마이스유니온,1지구
461,대덕,마이크로닉시스템(주),1지구
462,대덕,메타시스템,1지구
463,대덕,명랑시대외식청년창업협동조합,1지구
464,대덕,명이엔지,1지구
465,대덕,모리콘,1지구
466,대덕,모브릭,1지구
467,대덕,모비로,1지구
468,대덕,미코바이오메드,1지구
469,대덕,밀라클,1지구
470,대덕,바른,1지구
471,대덕,바이엠솔루션,1지구
472,대덕,바이오뉴트리젠,1지구
473,대덕,바이오매스연구단,1지구
474,대덕,바이오알앤디(주),1지구
475,대덕,버슘머트리얼즈코리아 주식회사,1지구
476,대덕,보문(주),1지구
477,대덕,뷰넥스,1지구
478,대덕,블록체인시스템,1지구
479,대덕,비아이씨,1지구
480,대덕,비즈플러스,1지구
481,대덕,사운더스트리,1지구
482,대덕,삼성E&A(주),1지구
483,대덕,삼성정밀화학(주)중앙연구소,1지구
484,대덕,삼양데이타시스템,1지구
485,대덕,선박해양플랜트연구소,1지구
486,대덕,세종화학(주),1지구
487,대덕,세진정밀,1지구
488,대덕,센서피아,1지구
489,대덕,센시 주식회사,1지구
490,대덕,소리케어,1지구
491,대덕,소바젠주식회사,1지구
492,대덕,수연테크,1지구
493,대덕,수자원기술주식회사,1지구
494,대덕,슈어데이터랩 주식회사,1지구
495,대덕,슈어소프트테크(주),1지구
496,대덕,스마트비투엠(주),1지구
497,대덕,스마트코어텍,1지구
498,대덕,스카이에스티 주식회사,1지구
499,대덕,시스템게이트(주),1지구
500,대덕,시큐랩,1지구
501,대덕,시크솔루션,1지구
502,대덕,신일정보기술(주),1지구
503,대덕,싸이파마 주식회사,1지구
504,대덕,써니스카이,1지구
505,대덕,쓰리세컨즈,1지구
506,대덕,씨케이클린텍,1지구
507,대덕,아리사이언스,1지구
508,대덕,아스텔(주),1지구
509,대덕,아이디에스 주식회사,1지구
510,대덕,아이비스바이오,1지구
511,대덕,아이쓰리시스템(주),1지구
512,대덕,아이알스펙트라(주),1지구
513,대덕,아이에스티,1지구
514,대덕,아이투엠 주식회사,1지구
515,대덕,알씨와이랩,1지구
516,대덕,알에프에이치아이씨(주),1지구
517,대덕,알티큐어,1지구
518,대덕,알피엠컨트롤(주),1지구
519,대덕,암브로티아,1지구
520,대덕,애경산업(주),1지구
521,대덕,애경케미칼(주),1지구
522,대덕,애경화학(주),1지구
523,대덕,에버그린,1지구
524,대덕,에스와이커뮤니케이션즈,1지구
525,대덕,에스지에너지 주식회사,1지구
526,대덕,에스크랩스,1지구
527,대덕,에스텍아이앤씨(주),1지구
528,대덕,에스티아이 주식회사,1지구
529,대덕,에어드론캠,1지구
530,대덕,에이디엠바이오사이언스(주),1지구
531,대덕,에이디엠티(주),1지구
532,대덕,에이스바이오텍,1지구
533,대덕,에이아이팜,1지구
534,대덕,에이치비이에스,1지구
535,대덕,에이케이켐텍(주),1지구
536,대덕,에이템즈(주),1지구
537,대덕,에코프렌,1지구
538,대덕,엑스엘,1지구
539,대덕,엔박,1지구
540,대덕,엔시스(주),1지구
541,대덕,엔컴퓨터,1지구
542,대덕,엘아이지넥스원주식회사,1지구
543,대덕,엘아이지정밀기술(주),1지구
544,대덕,엘엑스엠엠에이(주),1지구
545,대덕,엘젠테라퓨틱스 주식회사,1지구
546,대덕,엘지하우시스,1지구
547,대덕,엠디하이(주),1지구
548,대덕,엠알그린바이오 주식회사,1지구
549,대덕,엠이엘,1지구
550,대덕,엣지파운드리 주식회사,1지구
551,대덕,연구개발특구진흥재단,1지구
552,대덕,오름테라퓨틱 주식회사,1지구
553,대덕,오케이엠텍(주),1지구
554,대덕,오토실리콘,1지구
555,대덕,오투켐,1지구
556,대덕,오펠솔루션,1지구
557,대덕,올포프로,1지구
558,대덕,용디자인연구소,1지구
559,대덕,우드빌더스(주),1지구
560,대덕,원방포스택,1지구
561,대덕,원자력과학기술인협동조합(CPNE),1지구
562,대덕,원자력안전평가원(주),1지구
563,대덕,원큐어젠 주식회사,1지구
564,대덕,웰트리,1지구
565,대덕,위본스(주),1지구
566,대덕,유니코스(주),1지구
567,대덕,유로상사,1지구
568,대덕,유메인 주식회사,1지구
569,대덕,유에스피,1지구
570,대덕,유엔에이 테크놀러지,1지구
571,대덕,유이엔지(주),1지구
572,대덕,유진기술 주식회사,1지구
573,대덕,유진바이오텍,1지구
574,대덕,은혜 엔지니어링,1지구
575,대덕,이노바이오,1지구
576,대덕,이아이에스(EIS),1지구
577,대덕,이앤지(주),1지구
578,대덕,인그린텍,1지구
579,대덕,인소팩(주),1지구
580,대덕,인스젠 주식회사,1지구
581,대덕,인터켐,1지구
582,대덕,인테오,1지구
583,대덕,인텍나노소재 주식회사,1지구
584,대덕,인투코어테크놀로지,1지구
585,대덕,인포에이엔에스,1지구
586,대덕,인퓨시스,1지구
587,대덕,재단법인 대전과학산업진흥원,1지구
588,대덕,재단법인 대전세종연구원,1지구
589,대덕,재영ENG,1지구
590,대덕,재영이앤지주식회사,1지구
591,대덕,정보통신산업진흥원,1지구
592,대덕,정보통신산업진흥원,1지구
593,대덕,제넥셀세인주식회사,1지구
594,대덕,제이에스씨(주),1지구
595,대덕,제이에스케이바이오메드(주),1지구
596,대덕,제이엔텍주식회사,1지구
597,대덕,조타생활과학연구소,1지구
598,대덕,존스미디어(주),1지구
599,대덕,주식회사 고산테크,1지구
600,대덕,주식회사 공감센서,1지구
601,대덕,주식회사 광바이오,1지구
602,대덕,주식회사 그린방사선,1지구
603,대덕,주식회사 꿈비,1지구
604,대덕,주식회사 나온씨에스,1지구
605,대덕,주식회사 네오비,1지구
606,대덕,주식회사 네오에너지커넥터,1지구
607,대덕,주식회사 넥스플렉스,1지구
608,대덕,주식회사 노바케이메드,1지구
609,대덕,주식회사 노스윅,1지구
610,대덕,주식회사 대한씨엔에스,1지구
611,대덕,주식회사 더블유에스앤씨,1지구
612,대덕,주식회사 더웨이브톡,1지구
613,대덕,주식회사 디브레인,1지구
614,대덕,주식회사 디에스필터,1지구
615,대덕,주식회사 디자인캠프이엠,1지구
616,대덕,주식회사 디저트,1지구
617,대덕,주식회사 디지털센트,1지구
618,대덕,주식회사 디팜스,1지구
619,대덕,주식회사 딥센트,1지구
620,대덕,주식회사 레인보우로보틱스,1지구
621,대덕,주식회사 리피유,1지구
622,대덕,주식회사 마인즈랩,1지구
623,대덕,주식회사 마하넷,1지구
624,대덕,주식회사 맥텍,1지구
625,대덕,주식회사 메디키나바이오,1지구
626,대덕,주식회사 메타3디피,1지구
627,대덕,주식회사 모소,1지구
628,대덕,주식회사 미터랩,1지구
629,대덕,주식회사 베누펫,1지구
630,대덕,주식회사 베러써큘러스,1지구
631,대덕,주식회사 보림파워텍,1지구
632,대덕,주식회사 부성에너지,1지구
633,대덕,주식회사 브릿지헬스케어,1지구
634,대덕,주식회사 블루타일랩,1지구
635,대덕,주식회사 사이언,1지구
636,대덕,주식회사 살루스마린시스템즈,1지구
637,대덕,주식회사 세미안,1지구
638,대덕,주식회사 세종강우,1지구
639,대덕,주식회사 셀리아즈,1지구
640,대덕,주식회사 셀바스헬스케어,1지구
641,대덕,주식회사 솔라트론,1지구
642,대덕,주식회사 솔리드앤이에스,1지구
643,대덕,주식회사 슈거아트,1지구
644,대덕,주식회사 스텔라비전,1지구
645,대덕,주식회사 시너진,1지구
646,대덕,주식회사 시어스제약,1지구
647,대덕,주식회사 심투리얼,1지구
648,대덕,주식회사 쓰리디아이,1지구
649,대덕,주식회사 씨맥,1지구
650,대덕,주식회사 아이리스,1지구
651,대덕,주식회사 알앤디웨어,1지구
652,대덕,주식회사 에스씨바이오,1지구
653,대덕,주식회사 에스큐그리고,1지구
654,대덕,주식회사 에이알티,1지구
655,대덕,주식회사 에이엔비,1지구
656,대덕,주식회사 에이엠파워,1지구
657,대덕,주식회사 엔팩,1지구
658,대덕,주식회사 엘엠프렌즈,1지구
659,대덕,주식회사 엠씨이,1지구
660,대덕,주식회사 엠케이바이오텍,1지구
661,대덕,주식회사 오픈엠,1지구
662,대덕,주식회사 옵티플,1지구
663,대덕,주식회사 와이즈드리밍,1지구
664,대덕,주식회사 요기핀,1지구
665,대덕,주식회사 우성씨앤에스,1지구
666,대덕,주식회사 위즈켐,1지구
667,대덕,주식회사 위코미,1지구
668,대덕,주식회사 위플로,1지구
669,대덕,주식회사 유니인포,1지구
670,대덕,주식회사 이맥케미칼,1지구
671,대덕,주식회사 이스쿠스,1지구
672,대덕,주식회사 이씨큐,1지구
673,대덕,주식회사 이엘,1지구
674,대덕,주식회사 인투와이즈,1지구
675,대덕,주식회사 자원메디칼,1지구
676,대덕,주식회사 제론바이오텍,1지구
677,대덕,주식회사 제이메디진,1지구
678,대덕,주식회사 제이알랩스,1지구
679,대덕,주식회사 제이어스,1지구
680,대덕,주식회사 조은꿈,1지구
681,대덕,주식회사 지슨텍,1지구
682,대덕,주식회사 지오코리아,1지구
683,대덕,주식회사 지투지바이오,1지구
684,대덕,주식회사 진코어,1지구
685,대덕,주식회사 카이노스메드,1지구
686,대덕,주식회사 칸세라,1지구
687,대덕,"주식회사 코프(KORF, Inc)",1지구
688,대덕,주식회사 큐라클,1지구
689,대덕,주식회사 크레블,1지구
690,대덕,주식회사 토르 테라퓨틱스,1지구
691,대덕,주식회사 토모큐브,1지구
692,대덕,주식회사 트위니,1지구
693,대덕,주식회사 티디에스이노베이션,1지구
