회사명,소재지,Latitude,Longitude,전화번호
충북산업보건센터_대한산업보건협회,충청북도 청주시 흥덕구 직지대로 397,36.6445497,127.4371371,043-263-7137~9
광주전남북지역본부_대한산업보건협회,광주광역시 광산구 사암로 414,35.1812287,126.8090152,062-956-9012~5 
전북산업보건센터_대한산업보건협회,전라북도 전주시 덕진구 기린대로 1030,35.8683567,127.0738926,063-225-1242
군산산업보건센터_대한산업보건협회,전라북도 군산시 신단남북로 169 2층,35.9609569,126.5606521,063-731-1242
제주산업보건센터_대한산업보건협회,제주시 첨단로3길 10번지 2층,33.4545896,126.5724716,064-723-4396
대구경북지역본부_대한산업보건협회,대구광역시 달서구 성서공단로15길 40,35.8384703,128.4906561,053-592-4901-4
경북산업보건센터_대한산업보건협회,경북 경산시 진량읍 공단1로 28,35.873516,128.8219711,053-856-1211
부산경남지역본부_대한산업보건협회,부산광역시 금정구 중앙대로 2139(동하빌딩),35.2753821,129.0922496,051-508-6088~9
남부산산업보건센터_대한산업보건협회,부산시 강서구 명지오션시티 9로 15(4~6층),35.0885867,128.8984457,051-710-6888
울산산업보건센터_대한산업보건협회,울산광역시 남구 두왕로 64번길 5-14,35.5130835,129.3115202,052-275-6322 
창원산업보건센터_대한산업보건협회,경산남도 창원시 마산회원구 자유무역2길 38 (마산자유무역지역내),35.211844,128.5918933,055-295-2461-2
마음의 숲,서울 금천구 벚꽃로 244 벽산디지털밸리5차 1405호,37.4767039,126.8857798,02-3281-2858
(재)숲과나눔 일환경건강센터,충북 청주시 흥덕구 직지대로 530(S타워 2층 212호),36.6431725,127.4519081,043-904-7411
주식회사터직업환경의학센터,경남 창원시 성산구 중앙대로39번길 6 310(중앙동),35.2196278,128.6754847,055-261-0600
한국금연운동협의회,서울 영등포구 국회대로 72길 22 10층 1호,37.5289916,126.9212543,02-2632-5190
한국직업건강간호협회 본부_(사)한국직업건강간호협회,서울특별시 서초구 서초중앙로 22길 122 서은빌딩 4층,37.4945317,127.0204531,02-3664-9612
서울보건안전센터_(사)한국직업건강간호협회,서울시 용산구 한강대로 104길 24 수정빌딩5층,37.5501961,126.9734293,02-3473-5919
서울북부보건안전센터_(사)한국직업건강간호협회,서울시 용산구 한강대로 104길 24 수정빌딩5층,37.5501961,126.9734293,02-701-9036
인천 부천보건안전센터_(사)한국직업건강간호협회,인천광역시 남동구 경인로617 오피앙오피스텔 B(102)동 904호,37.4650026,126.706087,032-422-1084
경기동부보건안전센터_(사)한국직업건강간호협회,경기도 성남시 분당구 장미로 78  (야탑동) 시그마3오피스텔 603호,37.4135078,127.1295646,031-756-0274
경기서부보건안전센터_(사)한국직업건강간호협회,경기도 안산시 단원구 원포공원1로 64(초지동) 키즈타운2 305호,37.303245,126.8109092,031-485-0090
경기남부보건안전센터_(사)한국직업건강간호협회,수원시 권선구 효원로230번길38 올림픽공원대우미래사랑101-706(권선동1011-14),37.2615729,127.0261123,031-223-5447
경기북부보건안전센터_(사)한국직업건강간호협회,경기도 의정부시 시민로 29(의정부동) 제일퍼스트빌-3 305호,37.7385248,127.0384078,031-876-4273
대전보건안전센터_(사)한국직업건강간호협회,대전광역시 월평새뜸로20번길14(월평동1363) 2층,36.3533021,127.353376,042-582-9052
충남보건안전센터_(사)한국직업건강간호협회,충청남도 천안시 서북구 공원로 177(불당도) 401동2001호,36.7995213,127.0990726,041-522-3627
충북보건안전센터_(사)한국직업건강간호협회,충청북도 청주시 흥덕구 신성동 51-7 2층 201호,36.6526782,127.4172073,043-283-1728
대구보건안전센터_(사)한국직업건강간호협회,대구광역시 수성구 만촌로156(만촌동427-1) 302호(북쪽),35.8725371,128.6407909,053-744-5412
대구서부보건안전센터_(사)한국직업건강간호협회,대구광역시 서구 통학로8 3층(내당동64-20),35.8609331,128.5647603,053-557-8313
부산보건안전센터_(사)한국직업건강간호협회,부산광역시 수영구 과정로33(망미동430-7) 3층,35.1742251,129.1076608,051-515-9163
전북보건안전센터_(사)한국직업건강간호협회,전라북도 전주시 완산구 어은로(중화산동2가) 18-10 2층,35.8163379,127.1300203,063-277-0081
광주보건안전센터_(사)한국직업건강간호협회,광주광역시 서구 화운로199번길7(화정동95-1) 2층남서쪽 사무실,35.1565537,126.8760514,062-972-2021
제주보건안전센터_(사)한국직업건강간호협회,제주시 신대로 22길 25(연동 1373-1) 아일랜드마이빌 201호,33.4821645,126.4924379,064-711-7823
전남동부보건안전센터_(사)한국직업건강간호협회,전남 여수시 무선6길24(선원동1233-12) 1층,34.7745086,127.6517303,061-681-0676
경남동부보건안전센터_(사)한국직업건강간호협회,경남 양산시 동면 금오로247(석산리) 402호,35.3160968,129.0262074,055-389-1412
울산보건안전센터_(사)한국직업건강간호협회,울산광역시 남구 대학로128(무거동466-2) 하늘빌딩 3층,35.5459688,129.2615748,052-277-8624
경남보건안전센터_(사)한국직업건강간호협회,경상남도 창원시 마산합포구 해안대로343(남성동247-8) 8층,35.2022426,128.5775662,055-221-0763
전남보건안전센터_(사)한국직업건강간호협회,전라남도 무안군 삼향읍 후광대로282(남악리2113) 11층(1104호),34.8139959,126.462367,061-285-7256
한국산업안전원,충북 청주시 청원구 오창읍 중심상업로 31-4 605호(엔젤오메가빌딩),36.713887,127.4290907,043-211-1909
한국산업위생협회,경기 부천시 소사구 경인로 124 송산빌딩 6층,37.4838322,126.7690305,02-782-3380
한국EAP협회,서울 중구 수표로 45 1201호,37.5654528,126.9896783,1566-5228
마음건강센터_서울센터,서울특별시 종로구 세종대로 209 정부서울청사 본관 209호 마음건강센터,126.975212,37.57490642,
마음건강센터_과천센터,경기도 과천시 관문로 47 정부과천청사 본관 후생동 마음건강센터,126.9848445,37.42780269,
마음건강센터_인천센터,인천광역시 미추홀구 석정로 239 정부인천청사 206호 마음건강센터,126.662039,37.46886111,
마음건강센터_춘천센터,강원도 춘천시 후석로 440번길 64 정부춘천청사 417호 마음건강센터,127.7502275,37.88908789,
마음건강센터_세종센터,세종특별자치시 다솜2로 94 정부세종청사 5-3동 302호 마음건강센터,127.2650176,36.50461757,
마음건강센터_대전센터,대전광역시 서구 청사로 189 정부대전청사 4동 204호 마음건강센터,127.3849022,36.36268276,
마음건강센터_광주센터,광주광역시 북구 첨단과기로 208번길 43 정부광주청사 3층 마음건강센터,126.8497065,35.22420739,
마음건강센터_대구센터,대구광역시 달서구 화암로 301 정부대구지방합동청사 업무B동 지하 1층 마음건강센터,128.5167277,35.80467535,
