구분,기업명,사업자등록번호,등록연도,현행특구,강소특구여부
130,유에이치에스㈜,606-86-54991,2017,부산,
131,㈜린치핀,651-87-00871,2017,부산,
132,㈜세타랩,682-88-00789,2017,부산,
133,㈜에스랩,426-87-00300,2017,부산,
134,㈜다윈테크,680-86-00396,2017,광주,
135,㈜비에스소프트,506-86-00929,2017,광주,
136,㈜인사이드글로벌,707-81-00809,2017,광주,
137,큐레스㈜,621-86-15610,2017,광주,
138,㈜피플러스,407-86-00812,2017,전북,
139,㈜휴벳,403-81-45544,2017,전북,
140,㈜코비스,252-87-00897,2017,광주,
141,㈜동이테크,261-81-26808,2017,광주,
142,㈜에디테크놀로지,797-88-00780,2017,광주,
143,㈜플러스랩,250-87-00945,2017,부산,
144,㈜하늬바람,843-86-00774,2017,대구,
145,㈜코리아비엔씨,777-86-00443,2018,대구,
146,㈜엔에스엠,147-87-00765,2018,대덕,
147,㈜유진바이오텍,127-86-54824,2018,대덕,
148,㈜와이엔디케이,373-88-00906,2018,대덕,
149,솔라시도코리아㈜,418-81-48072,2018,전북,
150,㈜와이테크,746-81-00575,2018,대덕,
151,㈜민트로봇,521-88-00465,2018,대덕,
152,㈜네모,146-86-01032,2018,대덕,
153,㈜지스코환경에너지연구소,816-87-00861,2018,대덕,
154,㈜세이프몬,759-86-00896,2018,부산,
155,㈜코아이,383-87-00717,2018,부산,
156,㈜지에이치이노텍,604-87-00690,2018,부산,
157,㈜동아코퍼레이션,299-81-00953,2018,부산,
158,㈜스타라이트,303-88-00265,2018,부산,
159,㈜이이알에스소프트,188-86-00075,2018,부산,
160,㈜단단광학,417-87-00965,2018,대덕,
161,㈜한스메카,524-81-00223,2018,대덕,
162,㈜시정,601-86-00597,2018,대덕,
163,㈜보노아이씨티,333-86-00414,2018,대덕,
164,㈜엘그린텍,482-88-00549,2018,대덕,
165,㈜단예,323-87-00748,2018,대구,
166,㈜디에스비연구소,295-87-00822,2018,부산,
167,㈜익투스지노믹스,226-88-00880,2018,대덕,
168,㈜이프랜트,440-86-00594,2018,대덕,
169,㈜메가랩,662-86-00933,2018,대덕,
170,㈜엘케이랩,754-87-00132,2018,대덕,
171,㈜케스트,850-81-00710,2018,대덕,
172,드라이스팀㈜,798-87-00016,2018,광주,
173,㈜이노핫,151-86-00544,2018,전북,
174,㈜쓰리제이,321-81-00420,2018,전북,
175,㈜지엔이앤엠,636-87-00848,2018,광주,
176,㈜다른코리아,598-88-00669,2018,대덕,
177,㈜모아바이오,338-81-00199,2018,강소(인천),강소
178,㈜파코웨어,692-81-00846,2018,대구,
179,㈜시큐웍스,499-86-00806,2018,대덕,
180,㈜엠지이노베이션,849-81-00739,2018,대덕,
181,㈜에이치티,418-88-00102,2018,대덕,
182,㈜컬처랩,569-86-00901,2018,광주,
183,㈜하이마,149-87-01154,2018,부산,
184,에쓰엠팹㈜,390-81-01008,2018,부산,
185,㈜스펄스엠텍,631-81-01025,2018,강소(군산),강소
186,㈜쉐마,894-81-00608,2018,대덕,
187,㈜이스쿠스,527-86-01094,2018,대덕,
188,㈜크럭셀,495-81-00527,2018,대덕,
189,㈜파인에스엔에스,314-86-22590,2018,대덕,
190,㈜티맥,246-81-00717,2018,대덕,
191,㈜라포터,166-88-00953,2018,대덕,
192,㈜위즈메탈,535-81-01256,2018,대덕,
193,㈜엘엠프렌즈,596-87-00443,2018,대덕,
194,㈜피코파운드리,674-86-00993,2018,대덕,
195,㈜씨에스텍,409-86-37498,2018,광주,
196,㈜보타닉센스,342-81-01033,2018,전북,
197,㈜씨앤아이토탈솔루션,508-86-00736,2018,강소(춘천),강소
198,㈜동이에너지,573-86-01189,2018,강소(나주),강소
199,㈜티에스테크,447-87-01169,2018,광주,
200,㈜아이지오,876-87-00878,2018,부산,
201,㈜엔디오에스,138-81-98701,2018,대구,
202, ㈜에스디테크,301-87-00791,2018,광주,
203,이와이어라이너㈜,137-86-53079,2018,전북,
204,㈜진안당연구소,791-86-01190,2018,전북,
205,텍스토리㈜,733-87-00284,2018,강소(청주),강소
206,㈜나르마,872-81-01117,2018,대덕,
207,㈜에스엘바이오,804-81-01021,2018,대구,
208,㈜이엠이에너지,116-81-77685,2018,대구,
209,㈜전진엠에스,390-88-00648,2018,부산,
210,㈜오투랩,444-88-01094,2018,부산,
211,㈜원테크랩,751-88-00988,2018,광주,
212,㈜드림트리,493-88-00331,2018,광주,
213,㈜에스비솔루션,447-81-01250,2018,강소(나주),강소
214,㈜에이스테크윈,497-88-00973,2018,대구,
215,㈜더원바이오,199-86-01074,2018,대구,
216,빈킨즈 농업회사법인㈜,331-87-01243,2018,대구,
217,㈜에이엘텍,756-87-01189,2018,대구,
218,㈜란스에이앤씨,713-88-01097,2018,전북,
219,㈜아이디어마을,417-88-01184,2018,전북,
220,㈜더센,312-86-62451,2018,대덕,
221,㈜와이비랩,652-81-01056,2019,대덕,
222,㈜브레인기어,180-81-01245,2019,대덕,
223,㈜알앤디웨어,104-86-60134,2019,대덕,
224,㈜한국디지털트윈연구소,632-81-01241,2019,대덕,
225,㈜유앤아이기술,512-88-00549,2019,대덕,
226,㈜우림테크,508-86-01147,2019,대구,
227,㈜에드테크,309-81-06860,2019,대구,
228,㈜와치포인트,391-87-00756,2019,광주,
229,㈜화정,775-88-00062,2019,부산,
230,㈜유랩,147-86-01414,2019,전북,
231,하워드랩㈜,498-87-01250,2019,강소(청주),강소
232,엘지바이오㈜,483-81-00451,2019,강소(천안아산),강소
233,㈜쉬즈엠,282-87-01164,2019,부산,
234,유건해운㈜,105-88-15941,2019,부산,
235,㈜일링크스,512-81-24902,2019,부산,
236,㈜디마인,769-88-01009,2019,부산,
237,㈜에이알티,731-87-01308,2019,대덕,
238,㈜써카디언,837-86-01216,2019,대덕,
239,제노테크㈜,409-86-29358,2019,광주,
240,㈜브레이크더룰스,854-86-01225,2019,광주,
241,㈜솔빅테크,145-81-01280,2019,광주,
242,웰젯㈜,315-87-01125,2019,강소(나주),강소
243,㈜헬스메드,364-87-01170,2019,광주,
244,㈜디비티,835-87-01065,2019,광주,
245,㈜웰트,711-81-01317,2019,광주,
246,㈜엠에스엘,423-87-00640,2019,대덕,
247,세종솔루텍㈜,812-88-01128,2019,대덕,
248,㈜플레이서,831-81-01213,2019,대덕,
249,㈜더이지스이엔지,274-86-00997,2019,대덕,
250,한국에너지솔루션㈜,265-86-01255,2019,대덕,
251,㈜아이티알,795-88-01347,2019,대덕,
252,㈜에스티엔,556-87-00542,2019,강소(나주),강소
253,㈜엠씨케이테크,809-86-00809,2019,대덕,
254,㈜케이쓰리디피,813-86-01258,2019,광주,
255,㈜퓨전바이오텍,520-88-01078,2019,강소(울주),강소
256,㈜올케어러블,683-81-01332,2019,대덕,
257,㈜아이피트,591-87-01132,2019,대덕,
258,㈜오미라클,502-86-40822,2019,전북,
259,국민바이오㈜,717-86-01208,2019,전북,
260,㈜에스엠전자,765-81-00824,2019,전북,
261,㈜가교테크,806-88-00177,2019,부산,
262,유카네트웍스㈜,747-87-01318,2019,부산,
263,하이젠파워㈜,443-87-01279,2019,대구,
264,㈜인피닉스,362-87-01285,2019,대구,
265,㈜에이치지솔루션,507-86-00825,2019,전북,
266,㈜벡서,597-86-01491,2019,전북,
267,㈜사이루스,453-88-01268,2019,강소(포항),강소
268,㈜세명에프앤브이,622-88-01258,2019,부산,
269,㈜가코마린솔루션,160-88-01046,2019,대덕,
270,디엔이㈜,456-87-00766,2019,대덕,
271,㈜아스트론,367-86-01473,2019,대덕,
272,㈜디엔,319-86-00892,2019,전북,
273,정헌이씨씨㈜,852-86-00443,2019,전북,
274,㈜알티큐어,548-87-00954,2019,대덕,
275,엘아이전선㈜,319-81-01367,2019,대덕,
276,㈜쏠그리드,438-81-01810,2019,대덕,
277,㈜아크,579-81-01125,2019,부산,
278,㈜에스엔제이솔루션,623-88-00174,2019,광주,
279,㈜케이워터크레프트,515-86-01470,2019,부산,
280,㈜아이큐랩(EYEQLAB.INC),264-86-01096,2019,강소(안산),강소
281,㈜지유오투,221-88-00207,2019,강소(춘천),강소
282,㈜이오스,673-81-00957,2019,광주,
283,㈜크린젠,226-86-01338,2019,강소(안산),강소
284,㈜인디셀바이오,740-88-01430,2019,전북,
285,㈜한양솔라에너지,460-86-01355,2019,강소(군산),강소
286,㈜국민생활건강,216-81-48699,2019,전북,
287,㈜카이테크,418-81-27330,2019,전북,
288,㈜디에스테크놀러지,852-81-01466,2019,대구,
289,㈜아이피에스오토,504-86-19174,2019,대구,
290,드리블㈜,847-81-01071,2019,대덕,
291,㈜유니버셜머티리얼코퍼레이션,375-81-01144,2019,강소(안산),강소
292,㈜펀아트,696-88-01297,2019,대덕,
293,㈜옵토마린,409-86-25309,2019,광주,
294,㈜모메드솔루션,409-86-15913,2019,광주,
295,㈜티케이,167-86-01475,2019,광주,
296,㈜스카이솔루션,417-86-01458,2019,강소(나주),강소
297,(유)세레스,413-87-01036,2019,광주,
298,브이케이프론티어㈜,810-86-00662,2019,광주,
299,㈜포비드림,773-81-00179,2019,광주,
300,㈜서지텍,268-81-01851,2019,대덕,
301,㈜세종강우,458-86-01691,2019,대덕,
302,㈜워터제네시스,619-87-01503,2019,대덕,
303,㈜아디아랩,464-81-01522,2019,부산,
304,㈜프로젠,392-86-00621,2019,부산,
305,㈜뷰트리,590-87-01648,2019,부산,
306,제론바이오텍,339-87-01311,2019,대덕,
307,슈어데이터랩,168-88-01545,2019,대덕,
308,무티,178-88-01580,2019,대덕,
309,어반데이터랩,864-86-01386,2019,대덕,
310,이노레이,420-88-01614,2019,대덕,
311,인튜웍스,583-87-01316,2019,대덕,
312,세이가,318-81-07771,2019,대덕,
313,씨앰지,778-87-01398,2019,대덕,
314,㈜나인원코스메디,133-81-44874,2019,광주,
315,㈜굿아키브,755-87-01570,2019,강소(천안아산),강소
316,㈜다담팜테크,128-88-01571,2019,광주,
317,㈜소프트웨어융합연구소,758-87-00323,2019,광주,
318,㈜인바이러스테크,617-86-28488,2019,광주,
319,㈜라라랩스,154-88-01662,2019,광주,
320,㈜아이테크,364-86-01135,2019,광주,
321,㈜대경엔지니어링,241-81-01313,2019,대구,
322,㈜매니아테크,878-87-01382,2019,강소(진주),강소
323,㈜나투리아글로벌,318-87-01366,2019,대구,
324,㈜엠제이블루밍알앤디,605-86-35083,2019,전북,
325,㈜홈랜드솔루션,546-81-01746,2019,전북,
326,㈜반석기술융합,772-86-00749,2019,전북,
327,㈜더케이에스바이오,515-86-01728,2019,전북,
328,㈜휴바,774-86-01026,2019,대덕,
329,㈜바이오파머,268-88-01582,2019,강소(포항),강소
330,㈜리스트벤처,358-88-00815,2019,강소(포항),강소
331,㈜아이언박스,842-87-01379,2019,강소(포항),강소
332,네스트필드㈜,134-86-86872,2019,강소(안산),강소
333,에스이피㈜,323-87-01505,2020,광주,
334,㈜기술융합,161-81-01638,2020,대덕,
335,㈜이노브바이오,294-86-01743,2020,대덕,
336,㈜케이프로텍,624-88-01098,2020,대덕,
337,㈜트로닉스,408-86-07517,2020,광주,
338,㈜위드텍,584-81-01525,2020,대구,
339,㈜윈드큐브,723-86-01542,2020,대구,
340,㈜디에스,540-88-01131,2020,부산,
341,㈜피엔유에드,711-87-01677,2020,부산,
342,㈜에어랩,551-87-01283,2020,부산,
343,㈜로고스웨어,467-87-00693,2020,부산,
344,㈜수퍼제닉스,198-81-01208,2020,강소(창원),강소
345,㈜에이엔에이치시스템즈,244-86-01563,2020,강소(진주),강소
346,㈜반디아이씨티,362-81-00265,2020,광주,
347,㈜플랜제로랩,774-88-01243,2020,광주,
348,㈜지움,848-88-01845,2020,대덕,
349,㈜엘케이텍,744-88-01408,2020,광주,
350,한국전력정보㈜,842-81-01038,2020,대덕,
351,싸이파마㈜,599-86-01589,2020,대덕,
352,㈜딥인스펙션,806-81-00125,2020,대덕,
353,엔스펙트라㈜,887-81-01176,2020,대덕,
354,㈜아고스비전,195-86-01790,2020,대덕,
355,㈜에이아이솔루션,854-81-01370,2020,대덕,
356,㈜디아트,567-87-01712,2020,대구,
357,㈜진성하이테크,583-81-01575,2020,대구,
358,㈜델코,259-88-01439,2020,부산,
359,한국해양생태블록㈜,612-87-01725,2020,부산,
360,한국미세먼지연구소㈜,518-81-01381,2020,부산,
361,㈜위로우,793-88-01827,2020,부산,
362,㈜아이이에스,339-86-01954,2020,부산,
363,㈜유비콤,301-86-06181,2020,강소(청주),강소
364,㈜테라셀바이오앤사이언스,561-87-00433,2020,강소(청주),강소
365,㈜웰그린,301-86-28846,2020,강소(청주),강소
366,㈜마린앤,819-81-01756,2020,강소(안산),강소
367,㈜기웅,653-86-01525,2020,강소(김해),강소
368,㈜메디칼솔루션시스템,427-81-01635,2020,강소(김해),강소
369,㈜케이알메디,422-88-00019,2020,강소(김해),강소
370,㈜인테그로,659-87-00439,2020,강소(김해),강소
371,㈜영운글로벌,728-87-01597,2020,강소(김해),강소
372,㈜코스바이오,714-88-01576,2020,강소(김해),강소
373,㈜자비스옵틱스,746-87-01159,2020,강소(포항),강소
374,굿세라㈜,358-86-01921,2020,강소(진주),강소
375,㈜케이엑스티,782-87-01683,2020,강소(진주),강소
376,㈜나노에코,666-81-01318,2020,강소(창원),강소
377,㈜마그네틱파워트레인,495-86-01934,2020,강소(창원),강소
378,㈜이플로우,597-81-00560,2020,강소(창원),강소
379,㈜맥스파이더,391-86-00991,2020,부산,
380,㈜에브리유즈,751-81-01936,2020,강소(포항),강소
381,㈜헥트,409-88-00767,2020,강소(포항),강소
382,㈜비긴스,398-86-01142,2020,전북,
383,㈜네오위브,357-88-00898,2020,강소(창원),강소
384,㈜이노컨,223-86-01192,2020,전북,
385,㈜타이탄,530-88-01186,2020,전북,
386,㈜워터블,651-81-01539,2020,전북,
387,㈜유원푸드텍,452-81-01698,2020,전북,
388,㈜플로다,645-87-01860,2020,대덕,
389,㈜헤즈테크,448-88-00608,2020,전북,
390,㈜더나은세상을만드는기술,639-87-01429,2020,전북,
391,㈜제네시스디지털코리아,550-88-00444,2020,전북,
392,㈜판옵티콘,286-86-01397,2020,전북,
393,㈜에스디케이랩,777-86-01705,2020,강소(인천),강소
394,에스아이테크㈜,545-81-01419,2020,대구,
395,㈜제이슨랩,661-88-01587,2020,대구,
396,우드빌더스㈜,630-81-00886,2020,대덕,
397,㈜디알랩,671-87-01724,2020,대덕,
398,㈜어반에이핏,423-88-01307,2020,대덕,
399,㈜네스포유,340-81-01570,2020,대덕,
400,㈜코코리색채연구소,383-86-01169,2020,대덕,
401,스템엑소원㈜,247-88-01737,2020,대덕,
402,㈜휴로,831-81-01794,2020,전북,
403,㈜씨앤비컴퍼니,450-86-01644,2020,전북,
404,㈜엘텍신소재,418-81-51183,2020,전북,
405,코넥트㈜ ,587-81-00210,2020,강소(청주),강소
406,㈜바이오나노코리아,317-88-01507,2020,강소(안산),강소
407,㈜바이오액츠비엠엔에스,898-86-01754,2020,강소(김해),강소
408,원큐어젠㈜ ,165-87-01568,2020,대덕,
409,㈜티제이에어로시스템즈,722-86-01985,2020,강소(진주),강소
410,㈜라이브워크,665-88-01764,2020,강소(진주),강소
411,㈜복합재자동화기술,203-81-66954,2020,강소(진주),강소
412,㈜엠에이치바이오,689-87-01744,2020,강소(진주),강소
413,㈜이쉘터,121-86-42349,2020,강소(진주),강소
414,㈜소프트윙스,595-87-01906,2020,강소(진주),강소
415,㈜아미티,225-81-28815,2020,강소(진주),강소
416,㈜플러스에이씨티,196-87-01183,2020,강소(진주),강소
417,㈜벳텍,870-87-01618,2020,강소(진주),강소
418,㈜토탈웰니스,321-88-01898,2020,강소(김해),강소
419,㈜애니온,363-88-01553,2020,강소(포항),강소
420,㈜오픈시큐리티,202-86-01012,2020,강소(안산),강소
421,㈜엠에스케이테크,154-88-02069,2020,강소(안산),강소
422,㈜허브스테이트,426-87-01804,2020,강소(안산),강소
423,㈜이투바이오,275-87-01680,2020,강소(청주),강소
424,㈜에이브이지니어스,581-86-01609,2020,강소(청주),강소
425,팜커넥트㈜,139-88-01284,2020,대덕,
426,㈜피앤더블유시티,107-88-43138,2020,대구,
427,㈜뷰,632-81-00806,2020,대구,
428,㈜라온힐,205-81-43243,2020,광주,
429,㈜현서테크,865-87-01921,2020,광주,
430,㈜홀그린나노,674-88-01074,2020,전북,
431,㈜언택트랩,614-88-01581,2020,전북,
432,㈜엑소캘리버,230-86-02184,2020,광주,
433,㈜지아이랩,595-81-01904,2020,광주,
434,㈜코리아모빌리티,863-88-01693,2020,광주,
435,㈜엘텍,691-81-01895,2020,광주,
436,㈜라라잇츠,276-87-01704,2020,부산,
437,㈜바이오테크서비스,444-81-01867,2020,부산,
438,㈜다원화학,514-86-01628,2020,강소(포항),강소
439,㈜에코테크윈,204-88-01837,2020,강소(포항),강소
440,㈜아이엠엠글로벌,216-88-01956,2020,대구,
441,㈜창의공간,514-81-63819,2020,대구,
442,㈜제이디랩,426-81-02062,2020,대구,
443,㈜서지오젠,722-87-01736,2020,대구,
444,㈜신우첨단소재,511-81-26493,2020,대구,
445,㈜보다,678-86-01859,2020,전북,
446,㈜보다비,223-87-01729,2020,강소(청주),강소
447,㈜아토큐앤에이,402-81-94926,2020,전북,
448,농업회사법인 ㈜네이처앤리치,431-87-01766,2020,대구,
449,㈜비에프씨씨,771-88-01943,2020,부산,
450,㈜소울닷,364-87-01864,2020,부산,
451,㈜디에이치오션,513-86-00854,2020,부산,
452,㈜엔팩에스앤지,454-88-01941,2020,부산,
453,㈜파티오,731-81-01247,2020,부산,
454,㈜콤스,763-86-02122,2020,부산,
455,㈜기림,612-87-01142,2020,대덕,
456,㈜지노케미칼,235-86-01841,2020,대덕,
457,㈜아이뉴옵틱스,520-87-01974,2020,대덕,
458,㈜블룸어스,757-81-02059,2020,대덕,
459,㈜티비케이푸드,410-87-10647,2020,강소(춘천),강소
460,㈜아쿠아바이오텍,333-86-00812,2020,강소(천안아산),강소
461,㈜오네이로스,411-88-01982,2020,대덕,
462,㈜정가농산,716-86-01957,2020,대덕,
463,㈜제이제이엔에스,896-86-01821,2020,대덕,
464,㈜에이콘아이앤씨,723-87-01423,2020,대덕,
465,㈜위드마인드,794-87-00687,2020,부산,
466,㈜이앤디,665-81-01839,2020,대덕,
467,㈜메그노시스,461-88-01594,2020,대덕,
468,㈜메디케어텍,247-81-02149,2021,강소(홍릉),강소
469,마이오텍사이언스㈜(Myo-Tec Science Inc.),865-81-01555,2021,강소(홍릉),강소
470,㈜디인사이트,296-87-02051,2021,강소(창원),강소
471,㈜리아씨엔에프,356-86-01401,2021,강소(김해),강소
472,㈜디아이씨연구소,191-87-01932,2021,강소(김해),강소
473,㈜디디미,310-86-02189,2021,강소(김해),강소
474,㈜에콤환경,478-86-02054,2021,강소(포항),강소
475,㈜토브앤바나,201-86-46262,2021,강소(포항),강소
476,㈜다이아텍,808-86-01810,2021,강소(김해),강소
477,㈜세이브짚,103-88-01892,2021,강소(김해),강소
478,㈜유메드,519-88-01909,2021,강소(김해),강소
479,㈜이레이,180-87-01742,2021,강소(창원),강소
480,㈜에드벡트티앤아이,389-86-02093,2021,부산,
481,㈜몰팩바이오,463-86-01295,2021,대덕,
482,유디포엠㈜,261-81-14262,2021,대덕,
483,㈜트렌토시스템즈,686-87-01876,2021,대덕,
484,㈜인투스페이스,308-88-01949,2021,대덕,
485,에이치앤비지노믹스㈜,773-87-01108,2021,강소(울주),강소
486,㈜지구루,218-88-02043,2021,강소(나주),강소
487,㈜아이비디,756-81-01926,2021,광주,
488, 제이알제이㈜,179-81-02088,2021,광주,
489,㈜지유,181-81-02169,2021,강소(창원),강소
490,㈜메디워커,805-88-01080,2021,강소(김해),강소
491,크로스바이오연구소㈜,375-87-01957,2021,강소(김해),강소
492,㈜펄스락,137-87-01850,2021,강소(창원),강소
493,㈜로아이젠,644-88-01224,2021,강소(홍릉),강소
494,㈜바이오소닉스,579-86-01800,2021,강소(홍릉),강소
495,㈜카본엑트,774-87-00795,2021,전북,
496,㈜바이오드,416-86-03716,2021,전북,
497,㈜앤에프아이,744-81-01898,2021,전북,
498,㈜온고,569-81-01278,2021,전북,
499,㈜에쓰에쓰바이오,572-87-02052,2021,광주,
500,㈜휴엔씨네이쳐,695-87-01910,2021,강소(김해),강소
501,㈜비놀로지,489-87-01770,2021,대덕,
502,㈜엑세스워터,838-81-02080,2021,대구,
503,㈜엠에프에스티,686-88-01999,2021,대구,
504,㈜네오스텍,166-88-00803,2021,강소(인천),강소
505,㈜휴먼피트니스랩,576-81-01811,2021,전북,
506,㈜라비,777-88-02066,2021,전북,
507,㈜도시농부,116-81-95816,2021,전북,
508,㈜클리어창,326-86-01579,2021,전북,
509,㈜조윤산업,269-81-01738,2021,부산,
510,농업회사법인 태양스피루리나㈜,382-86-02054,2021,부산,
511,㈜힘테크,619-87-00824,2021,부산,
512,㈜젠커스,326-81-01900,2021,강소(창원),강소
